name,locations
"lone yeti","The Bed of Bones"
"Longarm","Bloodshore"
"longhorn billygoat","Drybone"
"longhorn nannygoat","Drybone"
"longjaw","Shades of Grief"
"long-legged terror","Mount Biran Mines"
"longneck gagana","The Striped Hills"
"longneck phorusrhacos","The Central Hills of Amber"
"long-tailed armadillo","Ladle"
"long-winded lemur","Nine Ivies"
"looming shadow","The Rebirth of Bardam the Brave"
"loose boulder","The Bleached Shelf"
"Lord Ochu","The Western Plateau"
"Lord of the Wyverns","The Dravanian Forelands"
"lordstool","Amdapor Keep (Hard) (Zone)"
"Lorelei","Glowering Krautz"
"lost big claw","Northeastern Ice Needles"
"lost chocobo","Chocobo Forest"
"lost ewe","Dragonhead"
"lost sanuwa","Last Step"
"lost snipper","Northeastern Ice Needles"
"lothguard firedrone","Loth ast Gnath"
"lothguard steeldrone","Loth ast Gnath"
"lotis","Misopses Euros"
"Lou Carcolh","Everschade"
"loverly ladybird","Hammerlea"
"lower starkshadow skylord","Eil Tohm"
"loyal biast","The Keeper of the Lake (Zone)"
"loyal dragonfly","The Keeper of the Lake (Zone)"
"loyal wyvern","The Keeper of the Lake (Zone)"
"Lozatl","The Divine Threshold"
"lucky sphinx","The Hypermost Stage"
"ludicrously massive bear","Regio Domorum"
"Lugat","Spae Rock"
"Lumber Jack","East Flamerock"
"Luminare","The Lochs"
"luminescence","Amdapor Keep (Hard) (Zone)"
"luminion","Ostrakon Tria"
"luminous aether","Great Glacier"
"Lunar Bahamut","Paglth'an (Zone)"
"lunar fetters","Carteneau Flats: Borderland Ruins"
"lunar golem","Alder Springs;The Golem Trail"
"lunar nail","Paglth'an (Zone)"
"Lunar Odin","Carteneau Flats: Borderland Ruins"
"Lunar Ravana","Carteneau Flats: Borderland Ruins"
"lunatender","Southern Mare Lamentorum"
"lunatender queen","Mare Lamentorum"
"luncheon toad","The Medial Circuit (Area)"
"lunyucaua'pya","Yawtanane Grasslands"
"lunyuhiyshahe","Eshceyaani Wilds"
"Lupin freeblade","Doma (Area);Valley of the Fallen Rainbow"
"Lupin spearhand","The Glittering Basin"
"lured ninki nanka","Whilom River"
"lurking lock","Tomb of the Nullstone"
"lush morbol","Rootslake"
"Lutin","Whitebrim"
"Lycidas","Azys Lla"
"lykopersikon","Misopses Euros"
"Lyngbakr","Landfast Floe"
"lynx","The Val River Swale"
"Lyssa","Frozen Sphere"
"Lyuba","Coerthas Western Highlands"
"Maahes","Eastern Thanalan"
"Machairodus","Southwestern Ice Needles"
"mad karakul ram","Dragonhead"
"mad mudarch","Stonemarsh"
"madmite","The Lost City of Amdapor (Zone)"
"maelstrom","Maelstrom Command"
"magia fan","Uncanny Valley (Area)"
"magicked bones","The Tam-Tara Deepcroft (Landmark);Bentbranch;Drybone;Broken Water"
"magicked wamoura","Central Amdapor (Hard)"
"magitek bit","Sky Level;Porta Decumana;Magitek Installation"
"magitek chakram","Hall of the Scarlet Swallow"
"magitek colossus rubricatus","Armamentarium"
"magitek core","Paglth'an (Zone)"
"magitek death claw","Via Principalis;Castrum Meridianum;Phantom Train Depot;Armamentarium;Anti-aircraft Station;Main Level;Training Area;Magitek Research;Laboratorium Primum;Regio Urbanissima"
"magitek death machine","Regio Urbanissima"
"magitek explosive","Blue Sky"
"magitek field generator","Castrum Centri"
"magitek gunship","The Keeper of the Lake (Zone);Parapet"
"magitek hexadrone","Ichi-no-Kuruwa"
"magitek laserfield","Palace Shadows"
"magitek packer","North Silvertear"
"magitek pod","Testing Compound"
"magitek predator","Via Praetoria (Baelsar's Wall)"
"magitek rearguard","The Third Armory"
"magitek satellite","Regio Urbanissima"
"magitek scorpion","Rhalgr's Gate"
"magitek sky armor","Castrum Oriens (Baelsar's Wall)"
"magitek slasher","Armory (Outer Reaches);Magitek Installation;Magna Glacies;Regio Urbanissima"
"magitek turret I","Analysis and Proving;Neurolink Nacelle"
"magitek turret II","Analysis and Proving;Neurolink Nacelle"
"magitek vanguard","Daniffen Pass;Raubahn's Push;Via Principalis;Phantom Train Depot;Dreadnaught Landing (Duty);The Praetorium;Regio Urbanissima"
"magitek vanguard D-1","Armory (Outer Reaches)"
"magitek vanguard F-1","Area V"
"magitek vanguard H-1","Daniffen Pass;Fogfens;Castrum Centri;Training Area;Outer Walk;Magitek Research"
"magitek vanguard H-2","Raubahn's Push"
"magitek vanguard I prototype","East End"
"magna roader","Terrestrial Weaponry"
"Mahisha","The Lochs"
"main ceruleum tank","Azys Lla"
"maintenance module","Incubator Transport"
"Makara","South Tidegate"
"malboro terra","Saint Mocianne's Arboretum"
"malformed dragonet","Ostrakon Deka-okto"
"Maliktender","Amh Araeng"
"mammoth","Onsal Hakair"
"mammoth tentacle","The Deep Below"
"Mamool Ja bounder","Bronze Lake;The Floating City of Nym"
"Mamool Ja breeder","Bronze Lake"
"Mamool Ja executioner","Bronze Lake"
"Mamool Ja menace","Raincatcher Gully"
"Mamool Ja mercenary","Moraby Drydocks;The Gods' Grip"
"Mamool Ja mercenary head","Moraby Drydocks"
"Mamool Ja raider","The Floating City of Nym"
"Mamool Ja savant","Bronze Lake"
"Mamool Ja sophist","Bronze Lake"
"mana bomb","The Val River Swale"
"mana grenade","Squib Sands"
"mandragora prince","The Gods' Grip"
"Mandragora Queen","The Isles of Umbra"
"man-eating gasame","Hells' Lid (Landmark)"
"man-eating hornet","Spineless Basin"
"Manes","The Lochs"
"manipulated eye","Snowcloak (Landmark)"
"manipulated gaze","Twinpools;Wisent Herd"
"manipulated ogre","Snowcloak (Landmark)"
"manned death machine","Regio Domorum"
"manor acrobat","Haukke Manor (Hard) (Zone)"
"manor butler","Haukke Manor (Hard) (Zone)"
"manor claviger","Red Hall;Haukke Manor (Hard) (Zone)"
"manor footman","Haukke Manor (Hard) (Zone)"
"manor jester","Yellow Hall;Haukke Manor (Hard) (Zone)"
"manor maidservant","Ground Floor (Haukke Manor);Cellarage;Haukke Manor (Hard) (Zone)"
"manor sentry","Ground Floor (Haukke Manor);White Hall;Ground Floor (Haukke Manor Hard)"
"manor servitor","Cellarage"
"manor steward","Yellow Hall;Haukke Manor (Hard) (Zone)"
"manor warden","Haukke Manor (Hard) (Zone)"
"mantis king","The Ship Graveyard"
"mantis shrimp","The Norvrandt Slope"
"Manxome Molaa Ja Ja","The Wanderer's Palace (Hard)"
"Marberry","Upper La Noscea"
"marble guardian","Broken Water"
"marble marionette","The Gier Hall"
"marble urolith","Sleeping Stones"
"marching cultivator","The Smoldering Wastes;Avalonia Fallen;Loth ast Gnath"
"marching firedrone","Chocobo Forest;Avalonia Fallen;The Smoldering Wastes;Loth ast Gnath"
"marching mandragora","Cedarwood"
"marching steeldrone","Chocobo Forest;The Smoldering Wastes;Avalonia Fallen;Loth ast Gnath"
"marchosias","The Hall of Supplication"
"Mark II limpet bomb","U'Ghamaro Mines"
"Mark II magitek colossus","Command Chamber"
"Mark II telotek colossus","Paglth'an (Zone)"
"Mark II Zot colossus","Fervor Enhancement"
"Mark XLIII artillery cannon","Parade Ground"
"Mark XLIII field cannon","Ichi-no-Kuruwa"
"Mark XLIII mini cannon","Castrum Meridianum;Dreadnaught Landing (Duty);Terrestrial Weaponry"
"marolith","Middle Floors"
"Marraco","Coerthas Central Highlands"
"massive berkanan","The Central Circuit"
"massive marolith","The Lower Reaches"
"master coeurl","Fool Falls"
"masterful bandersnatch","Chocobo Forest"
"masterless Talos","Malikah's Well (Landmark)"
"masterless thrall","Drybone"
"Matagaigai","The Hedgetree (Central Shroud)"
"matamata","Chakha Zoh"
"Matanga castaway","East Flamerock"
"matchlock scorpion","Matchlock Menagerie"
"mating tarantula hawk","Landlord Colony"
"mature nopalitender","Eshceyaani Wilds"
"maultasche","The Bright Cliff"
"mechanoguardian","Northeastern Ice Needles"
"medusa","Misopses Euros"
"mega-gris","Northeastern Ice Needles"
"megalith marionette","The Gier Hall"
"megalobat","Nuvy's Leavings"
"megalotragus","Amdapor Keep (Hard)"
"megamaguey","Chabameki"
"meganeura","Middle Floors;School of Phantasmagoria"
"Melancholic Moira","The Answering Quarter"
"melanion","Kallimelios Zephyros"
"melia","The Smoldering Wastes"
"Melt","East Shroud"
"melting zoblyn","Riversmeet"
"meltwater goobbue","Dragonhead"
"Melusine","Bioweapon Storage"
"menacing mercenary","The Gods' Grip"
"Menuis","The Cookpot"
"Meracydian amphiptere","Delta Quadrant"
"Meracydian brobinyak","Delta Quadrant"
"Meracydian dragonet","Delta Quadrant"
"Meracydian falak","Delta Quadrant"
"Meracydian vouivre","Delta Quadrant"
"merdragon","Delta Quadrant"
"Meteor circle","Singularity Reactor"
"Metshaldjas","Raincatcher Gully"
"mettling dhara","The Fall of Bardam the Boastful"
"mettling matamata","The Glory of Bardam the Bold"
"Meww the Pusher","Halfstone"
"Mhachi bhoot","Shatotto Memorial;The Weeping City of Mhach"
"Mhachi ghost","Shatotto Memorial;The Weeping City of Mhach"
"miacid","Avalonia Fallen"
"Midan ambusher","Outer Illuminus;Illuminus (Landmark)"
"Midan brandisher","Outer Illuminus;Illuminus (Landmark)"
"Midan glider","Serviceway 763"
"Midan gunner","Machinery Bay 69"
"Midan hardhelm","Machinery Bay 69"
"Midan hardmind","Machinery Bay 69"
"Midan soldier","Serviceway 763;Machinery Bay 69"
"Midan tinkerer","Outer Illuminus;Illuminus (Landmark)"
"midge swarm","Treespeak;Peacegarden"
"Migas","Whilom River"
"mighty craklaw","Newvoid"
"Mighty Mackerel","Chocobo Forest"
"migratory chapuli","The Val River Swale"
"Milburh the Malicious","Abandoned Amajina Mythril Mine"
"mildewed goobbue","Raincatcher Gully"
"milkroot cluster","Sylphlands"
"milky eye","Whitebrim"
"Milleuda the Slitter","The Sepulchre"
"Mimas","Whitebrim"
"Minaruja","The Rookery"
"mindflayer","Central Shroud"
"mindless tenaga","The Sea of Blades"
"Mindmaker","The Rak'tika Greatwood"
"Minduruva","Ingenuity's Ingress;Wisdom's Ward"
"mine gnome","The Nabaath Mines"
"mine hound","Bluefog"
"mine worm","The Nabaath Mines"
"Minerva","Garlemald"
"Minhocao","Northern Thanalan"
"mining drone","The Gamma Segregate"
"mining dross","Copperbell Mines (Hard) (Zone)"
"minobi","The Gensui Chain"
"minotaur","High-level Incubation Bay"
"mirage dragon","The Keeper of the Lake (Zone)"
"Mirka","Coerthas Western Highlands"
"Miser's Mistress","The Miser's Take"
"mist dragon","The Aspersory"
"Mistwake petromole","Quan Caverns;Electrope Mine"
"miteling straggler","Witchdrop"
"mitetrap","The Thousand Maws of Toto-Rak"
"mixed-up soblyn","The High Bank"
"mnyiri","The Norvrandt Slope"
"Mogoosh the Misbehaving","Four Arms;Landlord Colony"
"moisture soma","The Central Circuit"
"Mojabune","Floor 10 (Heaven-on-High)"
"molamander","Nabaath Areng"
"mold colony","The Lost City of Amdapor (Zone)"
"Molech","The West Val River Bank"
"molten phoebad","Solace"
"molten scorpion","The Northern Plateau"
"molting megalocrab","Moraby Bay;Quarterstone"
"Monarch Ogrefly","South Shroud"
"monitoring drone","Autolift"
"monitoring node","Sector I"
"monoceros","Philomythes Notos"
"monocular biclops","Bloodshore"
"monoeye","The Anemos Seam"
"monstrous mole","Spineless Basin"
"moon gana","Thok ast Thok;Carteneau Flats: Borderland Ruins"
"Moondrip blastmaster","Moondrip"
"Moondrip piledriver","Moondrip"
"Moondrip stonehauler","Moondrip"
"Moonshade uragnite","Moonshade Isle"
"Moraby hedgemole","The Salt Strand"
"moraine golem","Alder Springs"
"morbol","Fogfens;Larkscall"
"morbol fruit","The Banded Lid"
"morbol marquis","The Hungering Gardens"
"morbol menace","The Flock"
"Mord cutpurse","The Fields of Amber"
"morgawr","The Norvrandt Slope"
"Mormo's missionary","The Footfalls"
"morozko","Regio Urbanissima"
"moss barrier","The Temple of the Fist (Zone)"
"moss dragon","Landlord Colony"
"moss dragon in waiting","Landlord Colony"
"moss fungus","Voeburtenburg"
"mossless goobbue","Moraby Bay;Cedarwood;Zephyr Drift;Summerford"
"mossling","East End"
"mother hornbill","The Ruby Sea"
"mottled eft","Jadeite Thick"
"mouche volante","The Gullet"
"mountain grizzly","East End"
"mountain morbol","Larh Tortoh"
"mourner","The Ja Tiika Heartland"
"mourning billy","Wellwick Wood"
"mourning nanny","Wellwick Wood"
"mousse","Northern Mare Lamentorum"
"mousse princess","Mare Lamentorum"
"mud biast","Brayflox's Longstop"
"mud pie","Upper Paths"
"mud pie princess","Upper Paths"
"mud slime","Kingsloam"
"muddy dorpokkur","Kingsloam"
"muddy mata","Purification Tank C;Purification Tank A"
"muddy zoblyn","Outer Training Grounds"
"mudman","Clayclot Cauldron"
"multifield","Main Generators"
"Mumuroon Yellowtooth","Broken Water"
"murderous asvattha","The Shroud of the Samgha"
"musky wisent","Last Step"
"Mustadio","Realm of the Machinists"
"mustard gas","Ten Oohr"
"mutsu","Sogyoku Piscary"
"myotragus nanny","Drybone;Sandgate"
"Myradrosh","Upper La Noscea"
"myrmeleon","East Yyasulani"
"myrmidon guard","Feeding Pit"
"myrmidon marshal","Feeding Pit"
"myrmidon princess","Feeding Pit"
"myrmidon sentry","The Dry Sands"
"myrmidon soldier","Feeding Pit"
"mythril golem","Proud Creek"
"mythril verge","The Cameral Chamber"
"mythrilcap","The Thirty-third Facet"
"Nahn","Western La Noscea"
"naishi-no-jo","Shisui Gokagura"
"naked shrew","Hammerlea"
"Namazu stickywhisker","The Lost Canals of Uznair (Zone)"
"nameless soul","Tomb of King Galvanth the Dominator (Hard)"
"nameless spirit","Tomb of King Galvanth the Dominator (Hard)"
"Nandi","Upper La Noscea"
"nanka","Hullbreaker Isle"
"Narantsetseg","The Sea of Blades"
"Narasimha","Halatali (Hard) (Zone)"
"narbrooi","The Makers' Quarter"
"Nariphon","Lakeland"
"Narrow-rift","Ultima Thule"
"Naryordor","Solace"
"Natalan boldwing","Natalan"
"Natalan fogcaller","Natalan"
"Natalan watchwolf","Natalan"
"Natalan windtalon","Natalan"
"nat'gaii Vundu","Vundu Ok' Bendu;Hall of the Fallen Plume"
"nat'laii Gundu","The Sea of Clouds;Vundu Ok' Bendu"
"nat'loii Gundu","Cloudtop"
"nat'noii Gundu","Cloudtop"
"nat'noii Vundu","The Blue Window"
"nat'poii Vundu","The Gauntlet;Coldwind;The Blue Window;Ok' Vundu Vana;The Cromlech;Last Step;Cloudtop"
"Naul","Coerthas Central Highlands"
"Nayokk Roh","Wellwick Wood"
"Nburu","The Tangle"
"necroserf","The Garden of Epopts"
"necrosis","The Ut'ohmu Horizon"
"nehd Sorn Gahr","Aery Interior"
"nemesis","Hall of the Deviant"
"Neo Exdeath","The Parapet"
"nest commander","Black Brush"
"nesting buzzard","Hammerlea;Cedarwood"
"nesting gastornis","Cloudtop"
"nestless cockerel","The Val River Source"
"nestless falcon","Outer Training Grounds"
"nether nix","The Aurum Vale"
"Nezul Cattlan the Violator","Peacegarden"
"ngozi","The Fields of Amber"
"Nidhogg broodling","Aery Interior"
"nightmare puppet","The Forest of the Lost Shepherd"
"nightmare worm","The Fields of Amber"
"ninki nanka","Hullbreaker Isle"
"Noble Whoresons smuggler","Abandoned Amajina Mythril Mine"
"nocturnal knight","The Vault"
"nomadic Matanga","The West Val River Bank"
"nopalitender","Yawtanane Grasslands"
"nopalitender Fabuloso","Shaaloani"
"North Shroud lemur","Nine Ivies"
"northern bateleur","Snowcloak (Zone)"
"northern griffin","Flurry"
"northern grizzly","West Flamerock"
"northern ray","West Flamerock"
"northern snapweed","The Medial Circuit (Area)"
"northern swallow","West Flamerock"
"northern tiger","The West Val River Bank"
"northern vulture","The Honey Yard"
"noxius","Hall of the Bestiarii"
"Nu Mou porxienapper","Voeburtenburg"
"Nuckelavee","Lakeland"
"Nullchu","Zymology (Hard)"
"numa-no-shiki","The Wreath of Snakes (Zone)"
"Number","The Orchard"
"Number 128","The Floating City of Nym"
"Number 132","U'Ghamaro Mines"
"Number XXIV","Castrum Abania (Zone)"
"Nunyunuwi","Southern Thanalan"
"Nure-onna","Rasen Kaikyo"
"Nussknacker","The Thirstless Shore"
"nutbreaker squirrel","Lifemend Stump"
"nutmuncher marmot","Hammerlea"
"Nuvy megalobat","Nuvy's Leavings"
"Nuvy mole","Nuvy's Leavings"
"Nuzal Hueloc","The Cage"
"Nymian petalodus","The Wanderer's Haven"
"O Poorest Pauldia","Il Mheg"
"Oannes","Bronze Lake"
"obdella","Voor Sian Siran"
"obstructive u'out","Stride of the Sun"
"occult golem","Abandoned Ascent"
"occult isleblazer","Abandoned Ascent"
"occult knight","Lost Citadel"
"Oceanus","Syrcus Tower"
"ochu","The Honey Yard;Larkscall;Sylphlands"
"Odin","Sorrel Haven;Hopeseed Pond;Gelmorra Ruins;Alder Springs;Proud Creek;Larkscall;Nine Ivies;Lower Paths;Upper Paths;Urth's Fount (Landmark);South Shroud"
"odqan","The Shroud of the Samgha"
"ogama","Raincatcher Gully"
"ogrebon","Strategeion - 3F;Strategeion - 4F"
"okeanis","The Ruling Quarter"
"Okeanos the Red","North Silvertear"
"Okina","The Ruby Sea"
"okyupete","Philomythes Notos"
"old goobbue","The Val River Swale"
"old pisaca","The Shroud of the Samgha"
"Old Six-arms","Quarterstone"
"Old World zu","The Anemos Seam"
"old-growth blue leafkin","The Cerulean Cexudross"
"old-growth treant","Larkscall"
"ominous onibi","Rasen Kaikyo"
"Omni","Azys Lla"
"Oni Yumemi","The Ruby Sea"
"onibi","Raincatcher Gully"
"Onion Prince","The Isles of Umbra"
"Onslaughter","The Burden of the Son"
"onyx claw","North Silvertear"
"Ophion","First Bloom"
"Ophioneus","Elpis"
"ophiotauros","Ethoseletikos Boreas;Ktisis Hyperboreia (Landmark)"
"Opinicus","Saint Guenriol's Chapel"
"opo-opo","Treespeak;Peacegarden"
"oppressor","Hangar 8"
"oppressor 0.5","Hangar 8"
"opulent syricta","The House of Letters"
"orb of conflagration","Jnanamandapa"
"orb of immolation","Jnanamandapa"
"Orghana","The Azim Steppe"
"Origenics eyeclops","Intake Wharf"
"Origenics katobleps","Intake Wharf"
"Origenics sentry G9","Resource Collection Facility"
"Origenics sentry S10","Soul Extraction Facility"
"Origenics sentry S9","Intake Wharf;Resource Collection Facility;Soul Extraction Facility"
"Origenics turret","Soul Extraction Facility"
"Orn kite","The Answering Quarter"
"ornery karakul","Dragonhead;Providence Point;Whitebrim"
"orobon","Spineless Basin;The Unholy Heir;The Footfalls"
"orphaned sylph","Nine Ivies"
"Ose","The Floating City of Nym"
"Oskh","Nidhogg An"
"Oskh Rhei","Ultima Thule"
"Otengu","The Heart of the Dragon"
"other one","Ostrakon Tria"
"Otis Oathbroken","Recreation Zone"
"Ouranos","The Cold Throne (Hard)"
"ouranou medusa","Lethe"
"outloth steeldrone","The Smoldering Wastes;Chocobo Forest"
"outrunner","Canal Town;Yesterland;Asyle Volcane;Windspath Gardens"
"Ouzelum","The Fringes"
"overdue tome","Southwestern Ice Needles"
"overflow Beta","Ostrakon Deka-hexi"
"overflow level checker","Ostrakon Deka-hexi"
"overflow Omicron","Ostrakon Deka-hexi"
"overgrown ivy","Nine Ivies"
"overgrown manjusaka","The Perfumed Rise"
"overgrown rose","The Eblan Rime"
"overridden bit","Regio Urbanissima"
"overridden slasher","East End"
"ovibos","The Eblan Rime"
"ovim billy","The Northern Hills of Amber"
"ovim nanny","The Northern Hills of Amber"
"Ovjang","Central Thanalan"
"Ovni","The Val River Source"
"owlbear","Alpha Quadrant"
"Ozma","The Gloriole"
"Ozmashade","Twelvefold"
"Ozmasphere","The Gloriole"
"Pachamama","The Rak'tika Greatwood"
"pack armadillo","Terminus"
"pack jackal","Three-malm Bend;Skull Valley"
"pack Lupin","Valley of the Fallen Rainbow"
"pack phorusrhacos","The Northern Hills of Amber"
"pack wolf","Lifemend Stump"
"pack ziz","South Shroud"
"Padfoot","The Gods' Grip"
"padlock","Electrocution Gallery"
"page 64","Middle Floors;Convocation House;Natural History Room;Astrology and Astromancy Camera;School of Fantastics"
"Pagos elemental","Eureka Pagos"
"painted colibri","Brayflox's Longstop (Zone);Brayflox's Longstop (Hard) (Zone)"
"paissa","Cloudtop"
"paleoaevis","The Stone Vigil (Hard) (Zone)"
"panicked phooka","Voeburtenburg"
"Pannixia of the Woven Wing","Nine Ivies"
"pantera","Wightrock"
"panzer doll","The Burden of the Father;Electrocution Gallery"
"panzer doll scrap","Life Support"
"Papa Humbaba","Blue Sky"
"paper wasp","The Dewspun Bank"
"paralarva","The West Val River Bank"
"parasitic djigga","Dragonhead"
"parthenope","Control Gates;The Weeping City of Mhach"
"patina dragon","Eil Tohm"
"Patriot","Old Bozja"
"patrol node","Meteor Fissure"
"patronguard firedrone","Loth ast Gnath"
"patronguard steeldrone","Loth ast Gnath"
"Patty","The Alermuc Climb"
"Pazuzu","Newvoid"
"peapuk","Bloodshore"
"pecking condor","Middle La Noscea"
"Peerifool","Southern Entrenchment"
"pegasos","Kallimelios Zephyros"
"penghou","The Gensui Chain"
"Penthesilea","The Ring of Fire"
"pephredo","The Medial Circuit (Area)"
"perimeter firedrone","Chocobo Forest"
"perimeter steeldrone","Avalonia Fallen"
"Peryton","The Long Climb"
"pescatarian","The Glittering Basin"
"pestilent swarm","Governor's Row"
"petalodus","Elpis"
"petrosphere","The Dungeons"
"Phaia","Urth's Gift"
"phanopsyche","Philomythes Notos"
"phantom Gaius","Magitek Lift"
"phantom Lahabrea","Porta Decumana"
"phantom phanopsyche","Philomythes Notos"
"phantom ray","Exhibit Level III"
"phantom soldier","The Tam-Tara Deepcroft (Hard) (Zone)"
"phantom tiger","Zephyr Drift"
"Phantom Train","Freight Car"
"Phecda","North Shroud"
"Philia","The Manor House Courtyard"
"Phlegethon","Hall of the Inexorable"
"phobosuchus","The Val River Swale"
"phoebad","Loch Seld"
"Phoenix","IC-06 Main Bridge"
"phooka","Old Earra Bridge"
"phorusrhacos","The Central Hills of Amber"
"Phronesis","The Central Hills of Amber"
"phuabo","The Val River Source"
"phurbleweed","Drybone"
"Piasa","The West Val River Bank"
"pineapple","Steps of the Speaker"
"Pinktoe","Hammerlea"
"pisaca","Saltwind's Welcome"
"piscodemon","Wormwood Altar (Hard)"
"piston lubricant","Condensate Demineralizer 9"
"pit basilisk","Halatali (Hard) (Zone)"
"pit coeurl","Halatali (Hard) (Zone)"
"pit coeurl pup","Halatali (Hard) (Zone)"
"pit hippocerf","Copperbell Mines"
"pit hippogryph","Copperbell Mines (Hard) (Zone)"
"pit peiste","Halatali"
"pit torama","Halatali (Hard) (Zone)"
"pit wolf","Halatali (Hard) (Zone);Hemlock"
"pitcher weed","The Xobr'it Cinderfield"
"plague purge","Camp Bronze Lake"
"plague pus","Camp Bronze Lake"
"plainstrider","Summerford;Cedarwood"
"planar fissure","Urth's Gift;Coerthas Western Highlands;Eastern Thanalan"
"planebreaker","Urth's Gift"
"plantoid","The Anemos Seam"
"plasma shield","Main Generators"
"plasmasphere","Main Generators"
"platinal","Hall of the Tainted"
"plume portentious","The West Val River Bank"
"plundered butler","Seat of the Foremost"
"plundered pawn","Seat of the Foremost"
"plundered steward","Seat of the Foremost"
"pneumaflayer","The Orchard"
"poison frog","Uyuypoga"
"poison mist","The Shrine of the Goetic"
"poison spore","The Orchard"
"poisoned peasant","The Aurum Vale"
"polar bear","Riversmeet;Twinpools"
"polis angler","2nd Chamber"
"polis ant","4th Chamber"
"polis anzu","3rd Chamber"
"polis archaeornis","6th Chamber"
"polis archaeosaur","6th Chamber"
"polis aurelia","2nd Chamber"
"polis aurochs","5th Chamber"
"polis bandersnatch","6th Chamber"
"polis banemite","4th Chamber"
"polis bear","5th Chamber"
"polis beetle","3rd Chamber"
"polis bhoot","3rd Chamber"
"polis biloko","4th Chamber"
"polis blue back","5th Chamber"
"polis bogy","3rd Chamber"
"polis bomb","3rd Chamber"
"polis bulb","4th Chamber"
"polis cactuar","2nd Chamber"
"polis cat","1st Chamber"
"polis centaur","7th Chamber"
"polis chigoe","3rd Chamber"
"polis chimera","7th Chamber"
"polis cockerel","3rd Chamber"
"polis corpse flower","6th Chamber"
"polis crawler","3rd Chamber"
"polis deepeye","1st Chamber"
"polis diremite","4th Chamber"
"polis dodo","6th Chamber"
"polis drubber","3rd Chamber"
"polis dullahan","7th Chamber"
"polis dung beetle","4th Chamber"
"polis effigy","7th Chamber"
"polis eggplant","3rd Chamber"
"polis elbst","7th Chamber"
"polis fungus","2nd Chamber"
"polis gadfly","4th Chamber"
"polis garlic","3rd Chamber"
"polis gold back","5th Chamber"
"polis golem","7th Chamber"
"polis gremlin","3rd Chamber"
"polis grenade","3rd Chamber"
"polis griffin","6th Chamber"
"polis hawk","4th Chamber"
"polis hecteyes","5th Chamber"
"polis hornet","4th Chamber"
"polis hybodus","2nd Chamber"
"polis idol","6th Chamber"
"polis imp","3rd Chamber"
"polis inkhorn","5th Chamber"
"polis kargas","6th Chamber"
"polis knight","4th Chamber"
"polis korpokkur","1st Chamber"
"polis korrigan","1st Chamber"
"polis leech","2nd Chamber"
"polis magus","7th Chamber"
"polis mandragora","1st Chamber"
"polis mantis","4th Chamber"
"polis megalotragus","5th Chamber"
"polis miacid","5th Chamber"
"polis miteling","4th Chamber"
"polis monk","5th Chamber"
"polis morbol","5th Chamber"
"polis morgawr","7th Chamber"
"polis morpho","4th Chamber"
"polis mummy","4th Chamber"
"polis nanka","2nd Chamber"
"polis ninki nanka","2nd Chamber"
"polis ochu","6th Chamber"
"polis ogrebon","2nd Chamber"
"polis onion","3rd Chamber"
"polis opken","7th Chamber"
"polis paissa","1st Chamber"
"polis poroggo","1st Chamber"
"polis pot","6th Chamber"
"polis pteranodon","6th Chamber"
"polis pugil","2nd Chamber"
"polis pullet","3rd Chamber"
"polis queen","3rd Chamber"
"polis raptor","6th Chamber"
"polis ripper","3rd Chamber"
"polis roselet","2nd Chamber"
"polis sable back","5th Chamber"
"polis salamander","7th Chamber"
"polis sallet","1st Chamber"
"polis sankchinni","2nd Chamber"
"polis sasquatch","3rd Chamber"
"polis sasquatch cub","4th Chamber"
"polis seedling","5th Chamber"
"polis shell","2nd Chamber"
"polis skatene","5th Chamber"
"polis slug","2nd Chamber"
"polis snipper","2nd Chamber"
"polis talker","3rd Chamber"
"polis tiger","5th Chamber"
"polis tomato","3rd Chamber"
"polis tome","5th Chamber"
"polis treant","4th Chamber"
"polis uragnite","2nd Chamber"
"polis viking","7th Chamber"
"polis violet back","5th Chamber"
"polis wamoura","4th Chamber"
"polis wamouracampa","4th Chamber"
"polis wivre","6th Chamber"
"polis wolf","5th Chamber"
"Polyphemus","The Anemos Seam"
"Pomguard pomchopper","Unsevered Despair"
"Pomguard pomcrier","Unsevered Despair"
"Pomguard pomfluffer","Unsevered Despair"
"Pomguard pomfryer","Unsevered Despair"
"Pomguard pompiercer","Unsevered Despair"
"Pomguard pompincher","Unsevered Despair"
"pondless poroggo","The Makers' Quarter"
"Poqhiraj","Unstifled Prayer"
"poroggo","The Ruling Quarter"
"poroggo choirtoad","The Manifest"
"poroggo rivertamer","Pleroma"
"portrayal of fire","Mansion Cellar"
"Porus","North Silvertear"
"potent petrosphere","The Dungeons"
"potter wasp swarm","Broken Water"
"pouting paissa","Last Step"
"pouting phooka","Saint Fathric's Temple"
"powder keg","Steps of Faith"
"power generator","Life Support"
"Power Plasma alpha","Machinery Bay 68"
"Power Plasma beta","Machinery Bay 68;The Burden of the Son"
"Power Plasma gamma","Machinery Bay 68;The Burden of the Son"
"precultured biomass","Bioweapon Research;Incubation Bay VII"
"preying mantis","The Isles of Umbra"
"prickly paissa","The Gauntlet"
"priest of storms","Newvoid"
"primelephas","Newvoid"
"primordial hippocerf","Kallimelios Zephyros"
"Prince of Pestilence","Nine Ivies"
"prison pteroc","The Thousand Maws of Toto-Rak"
"prison pudding","The Thousand Maws of Toto-Rak"
